model,successful_samples,failed_samples,average_wer,median_wer,maximum_wer,wer_pass_count,average_generation_time,average_rtf,clipping_pass_count,model_size_if_known,cpu_feasibility,streaming_support_if_verified,voice_cloning_support,reference_strategy,license_note,meets_average_wer_target,meets_4_of_5_pass_target,meets_no_clipping_target,meets_no_failed_target
Chatterbox multilingual,5,0,0.20125874125874127,0.23076923076923078,0.38461538461538464,2,89.40965066000062,12.10455460552392,5,not recorded in this run,CPU evaluation completed; production real-time suitability depends on RTF and hardware,not verified,verified zero-shot reference audio cloning,standard reference,Existing case-study model; deployment licensing still requires project review.,False,False,True,True
XTTS-v2,5,0,0.05356643356643357,0.07692307692307693,0.1,5,22.637138959998264,3.2249065560361734,5,model.pth 1.87 GB plus config/vocab/speakers,CPU evaluation completed; production real-time suitability depends on RTF and hardware,not verified,verified zero-shot reference audio cloning,multi reference: short + standard + long,CPML; commercial/deployment use requires additional license review.,True,True,True,True
