evaluation_id,sample_id,language,profile,model,reference_name,reference_audio,generated_audio,expected_text,similarity_score,naturalness_score,pronunciation_score,metallic,missing_words,repeated_words,notes,accepted,reviewer,created_at,updated_at
c7d231dee25bd9cb,expressive_05_finish,Hindi,Expressive,Chatterbox,ratan_hindi_expressive,data/reference_audio/hindi/ratan_hindi_expressive.wav,outputs/chatterbox/hindi/expressive/expressive_05_finish.wav,,5,5,5,None,No,No,Voice is very close to original voice,Yes,Ratan,2026-07-17T12:09:56,2026-07-17T12:09:56
5daaf0584bc2004a,expressive_04_reassure,Hindi,Expressive,Chatterbox,ratan_hindi_expressive,data/reference_audio/hindi/ratan_hindi_expressive.wav,outputs/chatterbox/hindi/expressive/expressive_04_reassure.wav,,5,4,5,None,No,No,like a original voice but a little tone difference,Yes,Ranjeet,2026-07-17T12:13:28,2026-07-17T12:13:28
7c7b9d3edb647a52,expressive_03_excited,Hindi,Expressive,Chatterbox,ratan_hindi_expressive,data/reference_audio/hindi/ratan_hindi_expressive.wav,outputs/chatterbox/hindi/expressive/expressive_03_excited.wav,,5,5,5,None,No,No,,Yes,,2026-07-17T12:14:36,2026-07-17T12:14:36
b13686a4c97303d8,expressive_02_progress,Hindi,Expressive,Chatterbox,ratan_hindi_expressive,data/reference_audio/hindi/ratan_hindi_expressive.wav,outputs/chatterbox/hindi/expressive/expressive_02_progress.wav,,5,4,5,None,No,No,,Yes,,2026-07-17T12:15:06,2026-07-17T12:15:06
